1,convalesce,v. 渐渐康复，渐愈，快好
2,energize,vt. 使活跃， 赋予能量 vi. 产生能量
3,rally,n. 集会，重振旗鼓，示威运动，回合 vi. (人)集合起来，重整旗鼓，恢复精神 vt. 重新召集，激励，嘲弄
4,recover,vt.恢复； 重新获得； 找回； &lt;正&gt;恢复（适当的状态或位置） vi.恢复健康（体力、能力等） n.恢复开始时姿势
5,recuperate,v. 恢复，使恢复健康，使恢复精神
6,refresh,vt.&amp; vi. 使...生气蓬勃，提起精神，恢复精神
7,rehabilitate,vt. 改造， 使康复， 使恢复（名誉等）
8,rejuvenate,v. 使...年轻， 使...恢复精神，变年轻
9,renovate,vt. 更新，革新，刷新
10,restore,vt. 恢复，归还，翻新
11,resume,v. 再继续， 重新开始  n. 简历， 履历; 摘要
12,retrieve,vt. 挽回，恢复，回忆，补偿 vi. 找回猎物 n. 取回，恢复
13,revive,vt. 使重生，恢复精神，重新记起，唤醒 vi. 复生
14,revoke,vt. 撤回(回想) n. 取消(回想)
